logFC	nodeID	t
-0.0372	d2afab62-689e-4389-b1e5-af74b14538cb	3.05
11.2	03ca77e0-c348-40b2-8685-f4aaa0c6f12e	1.37
0.0501	e9241e5e-40fa-486b-9af8-500f197333bd	1.66
-0.1707862	f8ad84cc-625b-4c94-bc77-e7d10b54d0ee	-0.1137187
-1.89	646c5c74-5a8a-4ea8-b635-d159e10b12cc	-1.57
1.51	fc922948-9077-4097-9775-3096e7f49775	0.916
-1.93	8dd4c033-bec0-4fb1-8caa-d748f460b38f	0.997
-4.48	3fdb194b-45ce-408c-9331-745eb9de6c42	2.4
0.2	6ba9cd60-effa-482c-9012-093de39ddc5c	0.95
-0.683	79ccfae5-ac81-40ec-b8a1-cc3440e91dc5	0.1795084
0.16	7e1d2734-e753-40e6-a18f-34de9adce1c5	-0.3329662
3.4	23c0af54-0e82-42aa-9b31-21d5a5997e8c	0.219
0.273	a5b9fb1e-e079-4c7a-a28d-342504e84238	1.57
0.393	577379dc-94eb-4d7d-bd54-3234ba31ba68	-1.667443
-0.94	e93adacb-c171-4438-8c33-39873720e9d1	-0.385
0.39	61d1cd6d-a073-4a88-904a-fac2f901d136	1.51
1.88	262fb54c-7caa-4438-9021-f754f8ae9e61	0.371
4.9e-05	783a60cc-6bdf-4e95-855c-ce29d18f6e8e	0.349
1.05	1545edcb-1eb0-49d8-afe3-c3cc1c2dea99	1.85
3.01	ab4413a2-14eb-46f1-96a3-25e7949f1d81	0.4442276
-1.58	b2385637-2851-4593-850f-4227454d6f05	0.18
2.35	87c4d4a3-e252-4eb0-843e-89bd2d675105	1.41
1.42	68b763c6-7386-4d3a-98c8-9c8317743c65	-2.7
-0.24	3cb25b24-7a24-45b3-8b9e-ba0ea00b1eaf	-2.94
0.00333	875bf937-90b1-4c5a-ab51-9580d870194b	8.13
0.366	8d9da440-5618-4601-9abb-17d7a1e01ce9	-1.25
0.36	3e6b1117-2444-49a8-a441-63128b4f5db3	0.9439875
0.157	abd1b447-b18b-4bfc-aa3d-3162cc2b74bc	-3.29
0.167	55a481bd-2de6-414f-bd25-65f4d76bdd1e	0.102
0.0965	9e90bbe1-9eeb-49ab-9efe-6a557976e2b1	-0.238
0.433	8cfd3662-ac11-414f-a830-ab28187d6d8b	0.301
-0.24	4efaf06c-9a14-4ea5-9131-7401969b053a	0.114
-1.49	1630f06b-ea7d-4643-bf2d-4176b9a4d690	0.1317977
-0.82	dfdab33a-518f-4f06-acee-9a03fe619d19	2.26
-0.644	8811edf2-4972-4346-aaae-40144c1f92e9	0.644
-0.11	d20cf080-1ddd-4fd3-9a9b-b2fe082e54cd	-0.418
-0.49	d5d0619f-d01f-4ddb-ba12-b8aeac039cc8	-1.3163565
0.515	2cb7def9-675b-422f-93d6-a6637016ab46	-0.999
-1.07	9803d3eb-a572-40f9-ba98-8bf71607febf	-0.0233
0.71	513508f4-ed99-4da4-90d3-e9cbb617ce34	2.66
-1.08	2d1d1f7f-efb4-432d-a064-cc6b8acb0888	1.1181165
0.602	9fd8925c-0622-42fd-a6b9-f51a8d449e14	-1.26
-1.37	78bd3e4e-ce7e-4dcc-bf3e-c720462b2b2d	0.3880778
2.11	df3e77d4-309d-4d73-96bf-f0d75b77c6f3	0.865
-1.0045692	2795034f-4062-4a64-a281-fb24f053c44b	1.0
0.44	bbcf1d68-7838-459b-b4e1-e8a0d2b42c9f	1.07
0.753	d9d4c8b1-ec40-490f-81dd-d3905fa296db	-2.88
-1.71	cc059e26-afc2-48ed-ac2b-270f9909afea	2.47
-0.0301	6feadba6-5dc4-4d3f-93c3-9de5246bb7b0	1.75
-0.018057	4eb8e1d2-fd96-4dc0-a922-8f211d83ddc5	0.403
4.79	9b4107b1-98a5-4886-a9a7-bdd2a12d95ef	-1.9
0.16	3b3e580e-eafe-491c-b793-b3ebda44f7fd	-0.228
-0.0466	eed5f26b-f565-47bb-8a87-fdb05fe14140	1.3
3.61	37d257b7-d9d6-4f1b-b108-6527be19900f	0.4
2.57	24ebdd59-d43d-49c1-877d-df36f2986dd1	-0.201
0.9482352	f7e8f950-65da-4bdf-b88d-ab730f73d01a	0.194
-0.04	243e26be-6b56-44ec-818c-31b1c99021c6	0.772
0.0799	33f3d32c-a2a9-481e-8b8d-47221988b3ec	1.79921
-0.0533	314a6316-615d-4441-91a4-62ef4bdeb703	-1.09
